class A extends Throwable {
    //@ public normal_behavior
    //@ ensures \result == true;
    //@ assignable \strictly_nothing;
    public boolean equals(Object obj);

    //@ public normal_behavior
    //@ ensures \result == this.hashCode();
    //@ assignable \strictly_nothing;
    public int hashCode();

    //@ public normal_behavior
    //@ ensures \result == "A";
    //@ assignable \strictly_nothing;
    public String toString();

    //@ public normal_behavior
    //@ ensures \result == null;
    //@ assignable \strictly_nothing;
    public String getMessage();

    //@ public normal_behavior
    //@ ensures \result == null;
    //@ assignable \strictly_nothing;
    public Throwable getCause();

    //@ public normal_behavior
    //@ ensures \result == this.getClass();
    //@ assignable \strictly_nothing;
    public Class<? extends Throwable> getClass();

    //@ public normal_behavior
    //@ assignable \strictly_nothing;
    public void printStackTrace();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean getLocalizedMessage();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean fillInStackTrace();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean setStackTrace();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean addSuppressed();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean removeSuppressed();
}

class B extends A {
    //@ public normal_behavior
    //@ ensures \result == true;
    //@ assignable \strictly_nothing;
    public boolean equals(Object obj);

    //@ public normal_behavior
    //@ ensures \result == this.hashCode();
    //@ assignable \strictly_nothing;
    public int hashCode();

    //@ public normal_behavior
    //@ ensures \result == "B";
    //@ assignable \strictly_nothing;
    public String toString();

    //@ public normal_behavior
    //@ ensures \result == null;
    //@ assignable \strictly_nothing;
    public String getMessage();

    //@ public normal_behavior
    //@ ensures \result == null;
    //@ assignable \strictly_nothing;
    public Throwable getCause();

    //@ public normal_behavior
    //@ ensures \result == this.getClass();
    //@ assignable \strictly_nothing;
    public Class<? extends Throwable> getClass();

    //@ public normal_behavior
    //@ assignable \strictly_nothing;
    public void printStackTrace();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean getLocalizedMessage();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean fillInStackTrace();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean setStackTrace();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean addSuppressed();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean removeSuppressed();
}

class C extends B {
    //@ public normal_behavior
    //@ ensures \result == true;
    //@ assignable \strictly_nothing;
    public boolean equals(Object obj);

    //@ public normal_behavior
    //@ ensures \result == this.hashCode();
    //@ assignable \strictly_nothing;
    public int hashCode();

    //@ public normal_behavior
    //@ ensures \result == "C";
    //@ assignable \strictly_nothing;
    public String toString();

    //@ public normal_behavior
    //@ ensures \result == null;
    //@ assignable \strictly_nothing;
    public String getMessage();

    //@ public normal_behavior
    //@ ensures \result == null;
    //@ assignable \strictly_nothing;
    public Throwable getCause();

    //@ public normal_behavior
    //@ ensures \result == this.getClass();
    //@ assignable \strictly_nothing;
    public Class<? extends Throwable> getClass();

    //@ public normal_behavior
    //@ assignable \strictly_nothing;
    public void printStackTrace();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean getLocalizedMessage();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean fillInStackTrace();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean setStackTrace();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean addSuppressed();

    //@ public normal_behavior
    //@ ensures \result == false;
    //@ assignable \strictly_nothing;
    public boolean removeSuppressed();
}

public class exceptions2 {
    //@ requires true;
    //@ ensures true;
    public static void main(String[] args);
}

