NextGreaterElem,=0/5
FizzBuzzSeq,=11/13
IsBoomerang,=0/5
AbsSeq,=15/15
SolveQuadraticEquation,=0/2
Return100,=4/5
Disjunction,=5/5
RepeatedNumNested,=0/5
UniqueCharNested,=0/5
MaxInArray,=1/8
ReLUSeq,=4/5
MinInArray,=1/5
ReLU,=5/5
SelectionSort,=0/6
Return100Nested,=8/11
SortLibrary,=0/5
Abs,=15/15
SmallestEvenMulBranch,=5/5
PassPillowBranch,=5/5
ReverseArray,=9/10
IntCube,=0/4
AddLoopFor,=4/10
ComputeOverlapBranch,=4/5
RepeatedCharNested,=3/10
TwoSum,=0/5
MulNested,=4/7
IsCommonFactorBranch,=5/5
LeapYearSeq,=5/5
UniqueNumNested,=0/5
SubLoop,=0/5
ConvertToFahrenheit,=5/5
NotCommonMultiple,=5/5
AddTwoLoop,=8/9
PassPillow,=4/5
EchoIntLoop,=3/5
NotCommonFactorBranch,=5/5
DivisorGame,=5/5
IntSquare,=2/6
NumberOfCutsSeq,=1/5
TransposeMatrix,=0/5
MatrixMul,=0/2
NegAbs,=3/5
PowerOfFourBranch,=4/5
ConvertToKelvin,=5/5
ComputeOverlap,=5/5
BubbleSortDesc,=0/2
NotCommonFactor,=5/5
DominantIndex,=0/5
IsCommonMultiple,=5/5
CalculatorShuffled,=1/4
PowerOfFourLoop,=0/2
IsCommonMultipleBranch,=5/5
Conjunction,=5/5
SelectionSortDesc,=0/5
MatrixAdd,=0/5
UglyNumLoop,=2/7
Temperatures,=5/5
ComputeAreaBranch,=0/4
XOR,=5/5
